,title,comment,time,website
0,[買賣] 收 柯南劇場版漫畫 + 97單行本, 隔壁海鮮拍賣有看到全新的97, 01/02 11:57,https://www.ptt.cc/bbs/Conan/M.1672586544.A.A8A.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 等等 那個時候灰原(宮野志保?) 旁邊是有組織的人嗎?, 12/27 13:58,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 通常他不是都說 工藤君?, 12/27 13:58,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 之前特報是喊工藤君 這次變講江戶川 而且還是全名, 12/27 14:28,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 不知道有什麼用意XD, 12/27 14:28,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 柯南的稱呼以正片為準，多年來我們都習慣了預告騙(笑), 12/27 15:00,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 預告騙都不要信 真的 我當初信預告片腦子進的水 就, 12/27 16:00,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 是在電影院看正片流的淚………XD, 12/27 16:00,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 另一個疑問是 目前組織知道小哀真實身份的 應該不, 12/27 16:03,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 太可能留實體證據？, 12/27 16:03,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 如果有其他組織成員知道 也不用放盒子 直接報告組, 12/27 16:03,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 織 琴酒就會屁顛顛的出動(？？？)了不是嗎XD, 12/27 16:03,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 特報出新的角色，應該也是一次角色（很大機率）, 12/27 16:07,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 87%被其他黑衣組織的人知道，最後被琴酒殺死了, 12/27 16:47,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 這部出來對岸微博的新蘭粉又發瘋了，笑死！, 12/27 22:16,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 預告的台詞常常正片沒有或是亂湊，還是看看就好吧, 12/28 00:21,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 波本跟苦艾酒潛水裝那幕是不是上推特趨勢了(?) 畫面很美XDD, 12/28 00:55,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , (重點錯, 12/28 00:55,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 預告騙有時候真的很誇張 記得有年小蘭預告穿一個白色洋, 12/28 11:20,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 裝，結果電影連個影都沒看到這件衣服, 12/28 11:20,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 新酒的又要死了嗎XD, 12/28 18:14,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 18樓說的是偵探們的鎮魂歌嗎, 12/28 19:36,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , QQ..., 12/28 19:43,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 還有M19 小蘭被倒吊 血還一路從身上蔓延 結果正片, 12/28 23:47,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 完全沒有相關畫面 這個片段還佔了好幾秒 超級騙= =, 12/28 23:47,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 新酒99%要死透了吧(？) 先幫RIP QQ, 12/28 23:49,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 樓上說的那個是我一輩子都會記得的向日葵詐騙，超經典(x, 12/29 02:15,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 ," btw,新酒99%死透之前應該99%還會先來個洗白XDD", 12/29 02:17,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , M19預告騙還有基德說It's show time！結果正片根本沒有, 12/29 12:55,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 掰掰…　江戶川柯南  and 哈囉 ^_^! 我又回來了!, 12/29 14:06,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
0,Re: [情報] 柯南 M26劇場版 黑鐵的魚影　預告 , 還有今年M25 安室透拿電話那幕也是XD, 12/29 18:25,https://www.ptt.cc/bbs/Conan/M.1672119852.A.488.html
